Name,Pruned,RC,SMILES
5p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
6p,original,reactant,O=C(C=C)NC1=CC=C(C2=CC=CC=C2)C=C1
6p,original,intermediate,[H]c1c([H])c([H])c(-c2c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c2[H])c([H])c1[H]
6p,original,product,[H]c1c([H])c([H])c(-c2c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c2[H])c([H])c1[H]
6p,pruned,reactant,C=CC(=O)Nc1ccc(-c2ccccc2)cc1
6p,pruned,intermediate,[H]c1c([H])c([H])c(-c2c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c2[H])c([H])c1[H]
6p,pruned,product,[H]c1c([H])c([H])c(-c2c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c2[H])c([H])c1[H]
7p,original,reactant,O=C(C=C)NC1=CC=C(C(OC)=O)C=C1
7p,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1C(=O)OC([H])([H])[H]
7p,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1C(=O)OC([H])([H])[H]
7p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
7p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
7p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
8p,original,reactant,O=C(C=C)NC1=CC=C(C#N)C=C1
8p,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1C#N
8p,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1C#N
8p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
8p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
8p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
9p,original,reactant,O=C(C=C)NC1=CC=C(OC)C=C1
9p,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
9p,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
9p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
9p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
9p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
10p,original,reactant,O=C(C=C)NC1=CC=C(SC)C=C1
10p,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1SC([H])([H])[H]
10p,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1SC([H])([H])[H]
10p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
10p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
