Name,RC,SMILES,charge,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S2-45.22,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555630.0881708327,2.6553546357899904,-1555614.4274935927,-1555622.5575267687
S2-45.23,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280263.9382691775,7.188378515653312,-1280252.8097617265,-1280258.137650887
S2-45.23,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555367.7025979173,3.9295954033732414,-1555337.314775446,-1555343.3451411217
S2-45.23,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555639.4296464021,7.106218517757952,-1555625.9904746325,-1555633.2667791091
S2-45.24,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280265.5978187795,2.593292093835771,-1280255.750648513,-1280260.6002238616
S2-45.24,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555370.7812220203,7.41002107039094,-1555360.034440832,-1555365.6191325726
S2-45.24,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555640.8372578518,3.9584106327965856,-1555627.402188947,-1555634.3644050825
S2-45.25,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280261.4452621131,6.847333722747862,-1280248.647054413,-1280254.544857764
S2-45.25,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555376.507892768,6.420605120249093,-1555346.869440553,-1555353.0053177741
S2-45.25,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555640.0156400062,5.394590862095356,-1555629.5811255067,-1555634.6774189502
